OCUPACIONES,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,FILTRO
"ADMINISTRADOR, BANCO DE DATOS",463.0,453.0,447.0,444.0,451.0,442.0,452.0,443.0,440.0,427.0,435.0,423.0,1.0
"ANALISTA, SISTEMAS INFORMATICOS",9459.0,9527.0,9553.0,9619.0,9590.0,9534.0,9578.0,9523.0,9550.0,9416.0,9656.0,9659.0,1.0
"ANALISTA, SISTEMAS INFORMATICOS/BANCO DE DATOS",853.0,826.0,820.0,810.0,808.0,792.0,805.0,802.0,798.0,782.0,793.0,785.0,1.0
"ANALISTA, SISTEMAS INFORMATICOS/COMPUTADORAS",1728.0,1745.0,1756.0,1780.0,1795.0,1774.0,1789.0,1791.0,1802.0,1750.0,1769.0,1765.0,1.0
"ANALISTA, SISTEMAS INFORMATICOS/TELECOMUNICACIONES",601.0,617.0,620.0,618.0,633.0,626.0,634.0,647.0,642.0,632.0,645.0,638.0,1.0
"ANALISTAS, TRANSMISIONES/SISTEMAS INFORMATICOS",243.0,246.0,252.0,257.0,258.0,260.0,257.0,249.0,250.0,256.0,251.0,242.0,1.0
"CREADOR, SISTEMAS/EXCEPTO INFORMATICOS",25.0,22.0,22.0,24.0,25.0,25.0,25.0,26.0,25.0,25.0,27.0,29.0,1.0
"DIRECTOR DE DEPARTAMENTO, INFORMATICA",163.0,163.0,168.0,173.0,175.0,171.0,174.0,175.0,174.0,166.0,176.0,175.0,1.0
INGENIERO DE ORDENADORES ELECTRONICOS,38.0,41.0,40.0,37.0,38.0,38.0,38.0,37.0,39.0,39.0,39.0,38.0,1.0
"INGENIERO, APLICACIONES DE LA INFORMATICA",361.0,357.0,361.0,364.0,366.0,360.0,352.0,288.0,288.0,289.0,296.0,298.0,1.0
"INGENIERO, SISTEMAS INFORMATICOS",6836.0,6880.0,6928.0,6996.0,7044.0,7043.0,7170.0,7300.0,7400.0,7314.0,7324.0,7312.0,1.0
"INGENIERO, SISTEMAS/EXCEPTO INFORMATICOS",285.0,281.0,291.0,288.0,299.0,292.0,292.0,290.0,291.0,287.0,282.0,280.0,1.0
MONTADOR DE CLISES SOBRE SOPORTE,14.0,18.0,18.0,21.0,23.0,24.0,24.0,26.0,25.0,24.0,24.0,21.0,1.0
"OPERADOR, ALMACENAMIENTO DE DATOS",1049.0,1013.0,1010.0,1062.0,1062.0,1079.0,1079.0,1103.0,1141.0,1110.0,1167.0,1271.0,1.0
"OPERADOR, COMPUTADORA",384.0,432.0,433.0,441.0,447.0,446.0,453.0,457.0,461.0,450.0,439.0,449.0,1.0
"OPERADOR, EQUIPOS INFORMATICOS/COMPUTADORAS",1885.0,1970.0,2106.0,2151.0,2186.0,2146.0,2142.0,2158.0,2145.0,2113.0,2182.0,2162.0,1.0
"OPERADOR, EQUIPOS INFORMATICOS/UNIDADES PERIFERICAS (IMPRES",179.0,176.0,172.0,165.0,154.0,154.0,153.0,159.0,156.0,150.0,156.0,150.0,1.0
"PROFESOR, EDUCACION SUPERIOR/INFORMATICA",83.0,93.0,114.0,123.0,121.0,122.0,124.0,123.0,128.0,127.0,128.0,122.0,1.0
"PROGRAMADOR, CODIFICADOR DE LOS PROGRAMAS",218.0,213.0,214.0,209.0,212.0,211.0,217.0,221.0,237.0,251.0,260.0,260.0,1.0
"PROGRAMADOR, DESARROLLO DE LA LOGICA DEL PROCESO",284.0,275.0,267.0,254.0,255.0,257.0,254.0,259.0,267.0,260.0,259.0,259.0,1.0
"PROGRAMADOR, INFORMATICA/ANALISIS DE BASE DE DATOS",616.0,627.0,629.0,629.0,634.0,640.0,682.0,694.0,711.0,700.0,706.0,699.0,1.0
"PROGRAMADOR, INFORMATICA/ANALISIS DE SISTEMAS",2267.0,2266.0,2279.0,2284.0,2326.0,2342.0,2377.0,2406.0,2400.0,2379.0,2365.0,2362.0,1.0
"PROGRAMADOR, INFORMATICA/POR COMPUTADORA",1286.0,1299.0,1289.0,1349.0,1360.0,1378.0,1414.0,1431.0,1439.0,1381.0,1466.0,1466.0,1.0
"PROGRAMADOR, PRUEBA Y EJECUCION DEL PROGRAMA EN COMPUTADORA",142.0,134.0,131.0,133.0,129.0,129.0,128.0,128.0,126.0,133.0,133.0,138.0,1.0
"TECNICO, ANALISIS INFORMATICO",915.0,929.0,936.0,953.0,979.0,978.0,991.0,1012.0,1023.0,1031.0,1052.0,1048.0,1.0
"TECNICO, CONTROL DE EQUIPOS INFORMATICOS",1029.0,1037.0,1052.0,1067.0,1071.0,1071.0,1071.0,1074.0,1072.0,1056.0,1043.0,1035.0,1.0
"TECNICO, PROGRAMACION POR COMPUTADORAS",1315.0,1327.0,1330.0,1309.0,1328.0,1326.0,1335.0,1322.0,1327.0,1312.0,1323.0,1299.0,1.0
"TECNICO, SERVICIOS INFORMATICOS PARA USUARIOS",1996.0,2016.0,2009.0,2016.0,2000.0,1982.0,1976.0,1967.0,1991.0,1964.0,1948.0,1926.0,1.0
"TECNICO, SISTEMAS/EXCEPTO INFORMATICOS",1361.0,1346.0,1335.0,1311.0,1330.0,1335.0,1338.0,1362.0,1386.0,1378.0,1301.0,1294.0,1.0
TIPEO POR COMPUTADORA,84.0,86.0,89.0,89.0,91.0,88.0,93.0,89.0,88.0,91.0,95.0,96.0,1.0
